x_dot,y_dot,base_dot
73,0.004030455,B1Conv
74,0.004030455,B1Conv
75,0.004030455,B1Conv
76,0.004030455,B1Conv
77,0.004030455,B1Conv
78,0.004030455,B1Conv
79,0.004030455,B1Conv
80,0.004030455,B1Conv
81,0.004030455,B1Conv
82,0.004030455,B1Conv
83,0.004030455,B1Conv
84,0.004030455,B1Conv
85,0.004030455,B1Conv
86,0.004030455,B1Conv
87,0.004030455,B1Conv
88,0.004030455,B1Conv
89,0.004030455,B1Conv
90,0.004030455,B1Conv
91,0.004030455,B1Conv
92,0.004030455,B1Conv
93,0.004030455,B1Conv
94,0.004030455,B1Conv
95,0.004030455,B1Conv
96,0.004030455,B1Conv
97,0.004030455,B1Conv
98,0.004030455,B1Conv
99,0.004030455,B1Conv
100,0.004030455,B1Conv
101,0.004030455,B1Conv
102,0.004030455,B1Conv
103,0.004030455,B1Conv
104,0.004030455,B1Conv
105,0.004030455,B1Conv
106,0.004030455,B1Conv
107,0.004030455,B1Conv
108,0.004030455,B1Conv
109,0.004030455,B1Conv
110,0.004030455,B1Conv
111,0.004030455,B1Conv
112,0.004030455,B1Conv
113,0.004030455,B1Conv
114,0.004030455,B1Conv
115,0.004030455,B1Conv
116,0.004030455,B1Conv
117,0.004030455,B1Conv
118,0.004030455,B1Conv
119,0.004030455,B1Conv
120,0.004030455,B1Conv
121,0.004030455,B1Conv
122,0.004030455,B1Conv
123,0.004030455,B1Conv
124,0.004030455,B1Conv
125,0.004030455,B1Conv
126,0.004030455,B1Conv
127,0.004030455,B1Conv
128,0.004030455,B1Conv
129,0.004030455,B1Conv
130,0.004030455,B1Conv
131,0.004030455,B1Conv
132,0.004030455,B1Conv
133,0.004030455,B1Conv
134,0.004030455,B1Conv
135,0.004030455,B1Conv
136,0.004030455,B1Conv
137,0.004030455,B1Conv
138,0.004030455,B1Conv
139,0.004030455,B1Conv
140,0.004030455,B1Conv
141,0.004030455,B1Conv
142,0.004030455,B1Conv
143,0.004030455,B1Conv
144,0.004030455,B1Conv
145,0.004030455,B1Conv
146,0.004030455,B1Conv
147,0.004030455,B1Conv
148,0.004030455,B1Conv
149,0.004030455,B1Conv
150,0.004030455,B1Conv
151,0.004030455,B1Conv
152,0.004030455,B1Conv
153,0.004030455,B1Conv
154,0.004030455,B1Conv
155,0.004030455,B1Conv
156,0.004030455,B1Conv
157,0.004030455,B1Conv
158,0.004030455,B1Conv
159,0.004030455,B1Conv
160,0.004030455,B1Conv
161,0.004030455,B1Conv
162,0.004030455,B1Conv
163,0.004030455,B1Conv
164,0.004030455,B1Conv
165,0.004030455,B1Conv
166,0.004030455,B1Conv
167,0.004030455,B1Conv
168,0.004030455,B1Conv
169,0.004030455,B1Conv
170,0.004030455,B1Conv
171,0.004030455,B1Conv
172,0.004030455,B1Conv
173,0.004030455,B1Conv
174,0.004030455,B1Conv
175,0.004030455,B1Conv
176,0.004030455,B1Conv
177,0.004030455,B1Conv
178,0.004030455,B1Conv
179,0.004030455,B1Conv
180,0.004030455,B1Conv
181,0.004030455,B1Conv
182,0.004030455,B1Conv
183,0.004030455,B1Conv
184,0.004030455,B1Conv
185,0.004030455,B1Conv
186,0.004030455,B1Conv
187,0.004030455,B1Conv
188,0.004030455,B1Conv
189,0.004030455,B1Conv
190,0.004030455,B1Conv
191,0.004030455,B1Conv
192,0.004030455,B1Conv
193,0.004030455,B1Conv
194,0.004030455,B1Conv
195,0.004030455,B1Conv
196,0.004030455,B1Conv
197,0.004030455,B1Conv
198,0.004030455,B1Conv
199,0.004030455,B1Conv
200,0.004030455,B1Conv
201,0.004030455,B1Conv
202,0.004030455,B1Conv
203,0.004030455,B1Conv
204,0.004030455,B1Conv
205,0.004030455,B1Conv
206,0.004030455,B1Conv
207,0.004030455,B1Conv
208,0.004030455,B1Conv
209,0.004030455,B1Conv
210,0.004030455,B1Conv
211,0.004030455,B1Conv
212,0.004030455,B1Conv
213,0.004030455,B1Conv
214,0.004030455,B1Conv
215,0.004030455,B1Conv
216,0.004030455,B1Conv
217,0.004030455,B1Conv
218,0.004030455,B1Conv
219,0.004030455,B1Conv
220,0.004030455,B1Conv
221,0.004030455,B1Conv
222,0.004030455,B1Conv
223,0.004030455,B1Conv
224,0.004030455,B1Conv
225,0.004030455,B1Conv
226,0.004030455,B1Conv
227,0.004030455,B1Conv
228,0.004030455,B1Conv
229,0.004030455,B1Conv
230,0.004030455,B1Conv
231,0.004030455,B1Conv
232,0.004030455,B1Conv
233,0.004030455,B1Conv
234,0.004030455,B1Conv
235,0.004030455,B1Conv
236,0.004030455,B1Conv
237,0.004030455,B1Conv
238,0.004030455,B1Conv
239,0.004030455,B1Conv
240,0.004030455,B1Conv
241,0.004030455,B1Conv
242,0.004030455,B1Conv
243,0.004030455,B1Conv
244,0.004030455,B1Conv
245,0.004030455,B1Conv
246,0.004030455,B1Conv
247,0.004030455,B1Conv
248,0.004030455,B1Conv
249,0.004030455,B1Conv
250,0.004030455,B1Conv
251,0.004030455,B1Conv
252,0.004030455,B1Conv
253,0.004030455,B1Conv
254,0.004030455,B1Conv
255,0.004030455,B1Conv
256,0.004030455,B1Conv
257,0.004030455,B1Conv
258,0.004030455,B1Conv
259,0.004030455,B1Conv
260,0.004030455,B1Conv
261,0.004030455,B1Conv
262,0.004030455,B1Conv
263,0.004030455,B1Conv
264,0.004030455,B1Conv
265,0.004030455,B1Conv
266,0.004030455,B1Conv
267,0.004030455,B1Conv
268,0.004030455,B1Conv
269,0.004030455,B1Conv
270,0.004030455,B1Conv
271,0.004030455,B1Conv
272,0.004030455,B1Conv
273,0.004030455,B1Conv
274,0.004030455,B1Conv
275,0.004030455,B1Conv
276,0.004030455,B1Conv
277,0.004030455,B1Conv
278,0.004030455,B1Conv
279,0.004030455,B1Conv
280,0.004030455,B1Conv
281,0.004030455,B1Conv
282,0.004030455,B1Conv
283,0.004030455,B1Conv
284,0.004030455,B1Conv
285,0.004030455,B1Conv
286,0.004030455,B1Conv
287,0.004030455,B1Conv
288,0.004030455,B1Conv
289,0.004030455,B1Conv
290,0.004030455,B1Conv
291,0.004030455,B1Conv
292,0.004030455,B1Conv
293,0.004030455,B1Conv
294,0.004030455,B1Conv
295,0.004030455,B1Conv
296,0.004030455,B1Conv
297,0.004030455,B1Conv
298,0.004030455,B1Conv
299,0.004030455,B1Conv
300,0.004030455,B1Conv
1,1.313457723,B2Conv
2,0.80605085,B2Conv
3,0.494713803,B2Conv
4,0.303682182,B2Conv
5,0.186468121,B2Conv
6,0.114547377,B2Conv
7,0.070417915,B2Conv
8,0.043340757,B2Conv
9,0.026726629,B2Conv
10,0.016532456,B2Conv
11,0.010277468,B2Conv
12,0.006439504,B2Conv
13,0.004084588,B2Conv
14,0.002639648,B2Conv
15,0.001753055,B2Conv
16,0.001209056,B2Conv
17,0.000875266,B2Conv
18,0.000670457,B2Conv
19,0.00054479,B2Conv
20,0.000467683,B2Conv
21,0.000420371,B2Conv
22,0.000391341,B2Conv
23,0.000373529,B2Conv
24,0.000362599,B2Conv
25,0.000355893,B2Conv
26,0.000351778,B2Conv
27,0.000349254,B2Conv
28,0.000347704,B2Conv
29,0.000346754,B2Conv
30,0.000346171,B2Conv
31,0.000345813,B2Conv
32,0.000345593,B2Conv
33,0.000345459,B2Conv
34,0.000345376,B2Conv
35,0.000345325,B2Conv
36,0.000345294,B2Conv
37,0.000345275,B2Conv
38,0.000345263,B2Conv
39,0.000345256,B2Conv
40,0.000345252,B2Conv
41,0.000345249,B2Conv
42,0.000345247,B2Conv
43,0.000345246,B2Conv
44,0.000345246,B2Conv
45,0.000345245,B2Conv
46,0.000345245,B2Conv
47,0.000345245,B2Conv
48,0.000345245,B2Conv
49,0.000345245,B2Conv
50,0.000345245,B2Conv
51,0.000345245,B2Conv
52,0.000345245,B2Conv
53,0.000345245,B2Conv
54,0.000345245,B2Conv
55,0.000345245,B2Conv
56,0.000345245,B2Conv
57,0.000345245,B2Conv
58,0.000345245,B2Conv
59,0.000345245,B2Conv
60,0.000345245,B2Conv
61,0.000345245,B2Conv
62,0.000345245,B2Conv
63,0.000345245,B2Conv
64,0.000345245,B2Conv
65,0.000345245,B2Conv
66,0.000345245,B2Conv
67,0.000345245,B2Conv
68,0.000345245,B2Conv
69,0.000345245,B2Conv
70,0.000345245,B2Conv
71,0.000345245,B2Conv
72,0.000345245,B2Conv
73,0.000345245,B2Conv
74,0.000345245,B2Conv
75,0.000345245,B2Conv
76,0.000345245,B2Conv
77,0.000345245,B2Conv
78,0.000345245,B2Conv
79,0.000345245,B2Conv
80,0.000345245,B2Conv
81,0.000345245,B2Conv
82,0.000345245,B2Conv
83,0.000345245,B2Conv
84,0.000345245,B2Conv
85,0.000345245,B2Conv
86,0.000345245,B2Conv
87,0.000345245,B2Conv
88,0.000345245,B2Conv
89,0.000345245,B2Conv
90,0.000345245,B2Conv
91,0.000345245,B2Conv
92,0.000345245,B2Conv
93,0.000345245,B2Conv
94,0.000345245,B2Conv
95,0.000345245,B2Conv
96,0.000345245,B2Conv
97,0.000345245,B2Conv
98,0.000345245,B2Conv
99,0.000345245,B2Conv
100,0.000345245,B2Conv
101,0.000345245,B2Conv
102,0.000345245,B2Conv
103,0.000345245,B2Conv
104,0.000345245,B2Conv
105,0.000345245,B2Conv
106,0.000345245,B2Conv
107,0.000345245,B2Conv
108,0.000345245,B2Conv
109,0.000345245,B2Conv
110,0.000345245,B2Conv
111,0.000345245,B2Conv
112,0.000345245,B2Conv
113,0.000345245,B2Conv
114,0.000345245,B2Conv
115,0.000345245,B2Conv
116,0.000345245,B2Conv
117,0.000345245,B2Conv
118,0.000345245,B2Conv
119,0.000345245,B2Conv
120,0.000345245,B2Conv
121,0.000345245,B2Conv
122,0.000345245,B2Conv
123,0.000345245,B2Conv
124,0.000345245,B2Conv
125,0.000345245,B2Conv
126,0.000345245,B2Conv
127,0.000345245,B2Conv
128,0.000345245,B2Conv
129,0.000345245,B2Conv
130,0.000345245,B2Conv
131,0.000345245,B2Conv
132,0.000345245,B2Conv
133,0.000345245,B2Conv
134,0.000345245,B2Conv
135,0.000345245,B2Conv
136,0.000345245,B2Conv
137,0.000345245,B2Conv
138,0.000345245,B2Conv
139,0.000345245,B2Conv
140,0.000345245,B2Conv
141,0.000345245,B2Conv
142,0.000345245,B2Conv
143,0.000345245,B2Conv
144,0.000345245,B2Conv
145,0.000345245,B2Conv
146,0.000345245,B2Conv
147,0.000345245,B2Conv
148,0.000345245,B2Conv
149,0.000345245,B2Conv
150,0.000345245,B2Conv
151,0.000345245,B2Conv
152,0.000345245,B2Conv
153,0.000345245,B2Conv
154,0.000345245,B2Conv
155,0.000345245,B2Conv
156,0.000345245,B2Conv
157,0.000345245,B2Conv
158,0.000345245,B2Conv
159,0.000345245,B2Conv
160,0.000345245,B2Conv
161,0.000345245,B2Conv
162,0.000345245,B2Conv
163,0.000345245,B2Conv
164,0.000345245,B2Conv
165,0.000345245,B2Conv
166,0.000345245,B2Conv
167,0.000345245,B2Conv
168,0.000345245,B2Conv
169,0.000345245,B2Conv
170,0.000345245,B2Conv
171,0.000345245,B2Conv
172,0.000345245,B2Conv
173,0.000345245,B2Conv
174,0.000345245,B2Conv
175,0.000345245,B2Conv
176,0.000345245,B2Conv
177,0.000345245,B2Conv
178,0.000345245,B2Conv
179,0.000345245,B2Conv
180,0.000345245,B2Conv
181,0.000345245,B2Conv
182,0.000345245,B2Conv
183,0.000345245,B2Conv
184,0.000345245,B2Conv
185,0.000345245,B2Conv
186,0.000345245,B2Conv
187,0.000345245,B2Conv
188,0.000345245,B2Conv
189,0.000345245,B2Conv
190,0.000345245,B2Conv
191,0.000345245,B2Conv
192,0.000345245,B2Conv
193,0.000345245,B2Conv
194,0.000345245,B2Conv
195,0.000345245,B2Conv
196,0.000345245,B2Conv
197,0.000345245,B2Conv
198,0.000345245,B2Conv
199,0.000345245,B2Conv
200,0.000345245,B2Conv
201,0.000345245,B2Conv
202,0.000345245,B2Conv
203,0.000345245,B2Conv
204,0.000345245,B2Conv
205,0.000345245,B2Conv
206,0.000345245,B2Conv
207,0.000345245,B2Conv
208,0.000345245,B2Conv
209,0.000345245,B2Conv
210,0.000345245,B2Conv
211,0.000345245,B2Conv
212,0.000345245,B2Conv
213,0.000345245,B2Conv
214,0.000345245,B2Conv
215,0.000345245,B2Conv
216,0.000345245,B2Conv
217,0.000345245,B2Conv
218,0.000345245,B2Conv
219,0.000345245,B2Conv
220,0.000345245,B2Conv
221,0.000345245,B2Conv
222,0.000345245,B2Conv
223,0.000345245,B2Conv
224,0.000345245,B2Conv
225,0.000345245,B2Conv
226,0.000345245,B2Conv
227,0.000345245,B2Conv
228,0.000345245,B2Conv
229,0.000345245,B2Conv
230,0.000345245,B2Conv
231,0.000345245,B2Conv
232,0.000345245,B2Conv
233,0.000345245,B2Conv
234,0.000345245,B2Conv
235,0.000345245,B2Conv
236,0.000345245,B2Conv
237,0.000345245,B2Conv
238,0.000345245,B2Conv
239,0.000345245,B2Conv
240,0.000345245,B2Conv
241,0.000345245,B2Conv
242,0.000345245,B2Conv
243,0.000345245,B2Conv
244,0.000345245,B2Conv
245,0.000345245,B2Conv
246,0.000345245,B2Conv
247,0.000345245,B2Conv
248,0.000345245,B2Conv
249,0.000345245,B2Conv
250,0.000345245,B2Conv
251,0.000345245,B2Conv
252,0.000345245,B2Conv
253,0.000345245,B2Conv
254,0.000345245,B2Conv
255,0.000345245,B2Conv
256,0.000345245,B2Conv
257,0.000345245,B2Conv
258,0.000345245,B2Conv
259,0.000345245,B2Conv
260,0.000345245,B2Conv
261,0.000345245,B2Conv
262,0.000345245,B2Conv
263,0.000345245,B2Conv
264,0.000345245,B2Conv
265,0.000345245,B2Conv
266,0.000345245,B2Conv
267,0.000345245,B2Conv
268,0.000345245,B2Conv
269,0.000345245,B2Conv
270,0.000345245,B2Conv
271,0.000345245,B2Conv
272,0.000345245,B2Conv
273,0.000345245,B2Conv
274,0.000345245,B2Conv
275,0.000345245,B2Conv
276,0.000345245,B2Conv
277,0.000345245,B2Conv
278,0.000345245,B2Conv
279,0.000345245,B2Conv
280,0.000345245,B2Conv
281,0.000345245,B2Conv
282,0.000345245,B2Conv
283,0.000345245,B2Conv
284,0.000345245,B2Conv
285,0.000345245,B2Conv
286,0.000345245,B2Conv
287,0.000345245,B2Conv
288,0.000345245,B2Conv
289,0.000345245,B2Conv
290,0.000345245,B2Conv
291,0.000345245,B2Conv
292,0.000345245,B2Conv
293,0.000345245,B2Conv
294,0.000345245,B2Conv
295,0.000345245,B2Conv
296,0.000345245,B2Conv
297,0.000345245,B2Conv
298,0.000345245,B2Conv
299,0.000345245,B2Conv
300,0.000345245,B2Conv
1,2.061286645,B3Conv
2,1.385441748,B3Conv
3,0.931194576,B3Conv
4,0.62588711,B3Conv
5,0.420684624,B3Conv
6,0.282764445,B3Conv
7,0.190065882,B3Conv
8,0.127761557,B3Conv
9,0.08588573,B3Conv
10,0.057740255,B3Conv
11,0.03882319,B3Conv
12,0.026108699,B3Conv
13,0.017563067,B3Conv
14,0.011819399,B3Conv
15,0.007958979,B3Conv
16,0.005364323,B3Conv
17,0.00362041,B3Conv
18,0.002448295,B3Conv
19,0.001660496,B3Conv
20,0.001131003,B3Conv
21,0.000775121,B3Conv
22,0.000535927,B3Conv
23,0.00037516,B3Conv
24,0.000267106,B3Conv
25,0.000194481,B3Conv
26,0.000145669,B3Conv
27,1.13E-04,B3Conv
28,9.08E-05,B3Conv
29,7.60E-05,B3Conv
30,6.60E-05,B3Conv
31,5.93E-05,B3Conv
32,5.48E-05,B3Conv
33,5.18E-05,B3Conv
34,4.98E-05,B3Conv
35,4.84E-05,B3Conv
36,4.75E-05,B3Conv
37,4.69E-05,B3Conv
38,4.65E-05,B3Conv
39,4.62E-05,B3Conv
40,4.60E-05,B3Conv
41,4.59E-05,B3Conv
42,4.58E-05,B3Conv
43,4.57E-05,B3Conv
44,4.57E-05,B3Conv
45,4.57E-05,B3Conv
46,4.56E-05,B3Conv
47,4.56E-05,B3Conv
48,4.56E-05,B3Conv
49,4.56E-05,B3Conv
50,4.56E-05,B3Conv
51,4.56E-05,B3Conv
52,4.56E-05,B3Conv
53,4.56E-05,B3Conv
54,4.56E-05,B3Conv
55,4.56E-05,B3Conv
56,4.56E-05,B3Conv
57,4.56E-05,B3Conv
58,4.56E-05,B3Conv
59,4.56E-05,B3Conv
60,4.56E-05,B3Conv
61,4.56E-05,B3Conv
62,4.56E-05,B3Conv
63,4.56E-05,B3Conv
64,4.56E-05,B3Conv
65,4.56E-05,B3Conv
66,4.56E-05,B3Conv
67,4.56E-05,B3Conv
68,4.56E-05,B3Conv
69,4.56E-05,B3Conv
70,4.56E-05,B3Conv
71,4.56E-05,B3Conv
72,4.56E-05,B3Conv
73,4.56E-05,B3Conv
74,4.56E-05,B3Conv
75,4.56E-05,B3Conv
76,4.56E-05,B3Conv
77,4.56E-05,B3Conv
78,4.56E-05,B3Conv
79,4.56E-05,B3Conv
80,4.56E-05,B3Conv
81,4.56E-05,B3Conv
82,4.56E-05,B3Conv
83,4.56E-05,B3Conv
84,4.56E-05,B3Conv
85,4.56E-05,B3Conv
86,4.56E-05,B3Conv
87,4.56E-05,B3Conv
88,4.56E-05,B3Conv
89,4.56E-05,B3Conv
90,4.56E-05,B3Conv
91,4.56E-05,B3Conv
92,4.56E-05,B3Conv
93,4.56E-05,B3Conv
94,4.56E-05,B3Conv
95,4.56E-05,B3Conv
96,4.56E-05,B3Conv
97,4.56E-05,B3Conv
98,4.56E-05,B3Conv
99,4.56E-05,B3Conv
100,4.56E-05,B3Conv
101,4.56E-05,B3Conv
102,4.56E-05,B3Conv
103,4.56E-05,B3Conv
104,4.56E-05,B3Conv
105,4.56E-05,B3Conv
106,4.56E-05,B3Conv
107,4.56E-05,B3Conv
108,4.56E-05,B3Conv
109,4.56E-05,B3Conv
110,4.56E-05,B3Conv
111,4.56E-05,B3Conv
112,4.56E-05,B3Conv
113,4.56E-05,B3Conv
114,4.56E-05,B3Conv
115,4.56E-05,B3Conv
116,4.56E-05,B3Conv
117,4.56E-05,B3Conv
118,4.56E-05,B3Conv
119,4.56E-05,B3Conv
120,4.56E-05,B3Conv
121,4.56E-05,B3Conv
122,4.56E-05,B3Conv
123,4.56E-05,B3Conv
124,4.56E-05,B3Conv
125,4.56E-05,B3Conv
126,4.56E-05,B3Conv
127,4.56E-05,B3Conv
128,4.56E-05,B3Conv
129,4.56E-05,B3Conv
130,4.56E-05,B3Conv
131,4.56E-05,B3Conv
132,4.56E-05,B3Conv
133,4.56E-05,B3Conv
134,4.56E-05,B3Conv
135,4.56E-05,B3Conv
136,4.56E-05,B3Conv
137,4.56E-05,B3Conv
138,4.56E-05,B3Conv
139,4.56E-05,B3Conv
140,4.56E-05,B3Conv
141,4.56E-05,B3Conv
142,4.56E-05,B3Conv
143,4.56E-05,B3Conv
144,4.56E-05,B3Conv
145,4.56E-05,B3Conv
146,4.56E-05,B3Conv
147,4.56E-05,B3Conv
148,4.56E-05,B3Conv
149,4.56E-05,B3Conv
150,4.56E-05,B3Conv
151,4.56E-05,B3Conv
152,4.56E-05,B3Conv
153,4.56E-05,B3Conv
154,4.56E-05,B3Conv
155,4.56E-05,B3Conv
156,4.56E-05,B3Conv
157,4.56E-05,B3Conv
158,4.56E-05,B3Conv
159,4.56E-05,B3Conv
160,4.56E-05,B3Conv
161,4.56E-05,B3Conv
162,4.56E-05,B3Conv
163,4.56E-05,B3Conv
164,4.56E-05,B3Conv
165,4.56E-05,B3Conv
166,4.56E-05,B3Conv
167,4.56E-05,B3Conv
168,4.56E-05,B3Conv
169,4.56E-05,B3Conv
170,4.56E-05,B3Conv
171,4.56E-05,B3Conv
172,4.56E-05,B3Conv
173,4.56E-05,B3Conv
174,4.56E-05,B3Conv
175,4.56E-05,B3Conv
176,4.56E-05,B3Conv
177,4.56E-05,B3Conv
178,4.56E-05,B3Conv
179,4.56E-05,B3Conv
180,4.56E-05,B3Conv
181,4.56E-05,B3Conv
182,4.56E-05,B3Conv
183,4.56E-05,B3Conv
184,4.56E-05,B3Conv
185,4.56E-05,B3Conv
186,4.56E-05,B3Conv
187,4.56E-05,B3Conv
188,4.56E-05,B3Conv
189,4.56E-05,B3Conv
190,4.56E-05,B3Conv
191,4.56E-05,B3Conv
192,4.56E-05,B3Conv
193,4.56E-05,B3Conv
194,4.56E-05,B3Conv
195,4.56E-05,B3Conv
196,4.56E-05,B3Conv
197,4.56E-05,B3Conv
198,4.56E-05,B3Conv
199,4.56E-05,B3Conv
200,4.56E-05,B3Conv
201,4.56E-05,B3Conv
202,4.56E-05,B3Conv
203,4.56E-05,B3Conv
204,4.56E-05,B3Conv
205,4.56E-05,B3Conv
206,4.56E-05,B3Conv
207,4.56E-05,B3Conv
208,4.56E-05,B3Conv
209,4.56E-05,B3Conv
210,4.56E-05,B3Conv
211,4.56E-05,B3Conv
212,4.56E-05,B3Conv
213,4.56E-05,B3Conv
214,4.56E-05,B3Conv
215,4.56E-05,B3Conv
216,4.56E-05,B3Conv
217,4.56E-05,B3Conv
218,4.56E-05,B3Conv
219,4.56E-05,B3Conv
220,4.56E-05,B3Conv
221,4.56E-05,B3Conv
222,4.56E-05,B3Conv
223,4.56E-05,B3Conv
224,4.56E-05,B3Conv
225,4.56E-05,B3Conv
226,4.56E-05,B3Conv
227,4.56E-05,B3Conv
228,4.56E-05,B3Conv
229,4.56E-05,B3Conv
230,4.56E-05,B3Conv
231,4.56E-05,B3Conv
232,4.56E-05,B3Conv
233,4.56E-05,B3Conv
234,4.56E-05,B3Conv
235,4.56E-05,B3Conv
236,4.56E-05,B3Conv
237,4.56E-05,B3Conv
238,4.56E-05,B3Conv
239,4.56E-05,B3Conv
240,4.56E-05,B3Conv
241,4.56E-05,B3Conv
242,4.56E-05,B3Conv
243,4.56E-05,B3Conv
244,4.56E-05,B3Conv
245,4.56E-05,B3Conv
246,4.56E-05,B3Conv
247,4.56E-05,B3Conv
248,4.56E-05,B3Conv
249,4.56E-05,B3Conv
250,4.56E-05,B3Conv
251,4.56E-05,B3Conv
252,4.56E-05,B3Conv
253,4.56E-05,B3Conv
254,4.56E-05,B3Conv
255,4.56E-05,B3Conv
256,4.56E-05,B3Conv
257,4.56E-05,B3Conv
258,4.56E-05,B3Conv
259,4.56E-05,B3Conv
260,4.56E-05,B3Conv
261,4.56E-05,B3Conv
262,4.56E-05,B3Conv
263,4.56E-05,B3Conv
264,4.56E-05,B3Conv
265,4.56E-05,B3Conv
266,4.56E-05,B3Conv
267,4.56E-05,B3Conv
268,4.56E-05,B3Conv
269,4.56E-05,B3Conv
270,4.56E-05,B3Conv
271,4.56E-05,B3Conv
272,4.56E-05,B3Conv
273,4.56E-05,B3Conv
274,4.56E-05,B3Conv
275,4.56E-05,B3Conv
276,4.56E-05,B3Conv
277,4.56E-05,B3Conv
278,4.56E-05,B3Conv
279,4.56E-05,B3Conv
280,4.56E-05,B3Conv
281,4.56E-05,B3Conv
282,4.56E-05,B3Conv
283,4.56E-05,B3Conv
284,4.56E-05,B3Conv
285,4.56E-05,B3Conv
286,4.56E-05,B3Conv
287,4.56E-05,B3Conv
288,4.56E-05,B3Conv
289,4.56E-05,B3Conv
290,4.56E-05,B3Conv
291,4.56E-05,B3Conv
292,4.56E-05,B3Conv
293,4.56E-05,B3Conv
294,4.56E-05,B3Conv
295,4.56E-05,B3Conv
296,4.56E-05,B3Conv
297,4.56E-05,B3Conv
298,4.56E-05,B3Conv
299,4.56E-05,B3Conv
300,4.56E-05,B3Conv
1,2.891697033,B4Conv
2,2.189517952,B4Conv
3,1.657846197,B4Conv
4,1.255278158,B4Conv
5,0.950464099,B4Conv
6,0.719666814,B4Conv
7,0.544913106,B4Conv
8,0.412594139,B4Conv
9,0.312405655,B4Conv
10,0.236545539,B4Conv
11,0.179106229,B4Conv
12,0.135614677,B4Conv
13,0.102684003,B4Conv
14,0.077749753,B4Conv
15,0.058870186,B4Conv
16,0.044575069,B4Conv
17,0.033751178,B4Conv
18,0.025555609,B4Conv
19,0.019350136,B4Conv
20,0.014651514,B4Conv
21,0.011093839,B4Conv
22,0.008400061,B4Conv
23,0.006360401,B4Conv
24,0.004816024,B4Conv
25,0.003646662,B4Conv
26,0.002761251,B4Conv
