x_dot,y_dot,base_dot
1,0.811229726,B1
2,0.819945535,B1
3,0.475690597,B1
5,0.091340281,B1
7,0.023014322,B1
10,0.01316824,B1
20,0.006127612,B1
30,0.006120625,B1
50,0.006120619,B1
70,0.006120619,B1
100,0.006120619,B1
200,0.006120619,B1
300,0.006120619,B1
1,1.156945002,B2
2,0.879893938,B2
3,0.881024682,B2
5,0.51259597,B2
7,0.180241138,B2
10,0.004582708,B2
20,0.001979339,B2
30,0.001334864,B2
50,0.001329952,B2
70,0.001329952,B2
100,0.001329952,B2
200,0.001329952,B2
300,0.001329952,B2
1,1.25061095,B3
2,1.173570364,B3
3,0.954714878,B3
5,0.868254409,B3
7,0.52319077,B3
10,0.14305789,B3
20,0.005421223,B3
30,1.64E-04,B3
50,2.72E-04,B3
70,2.72E-04,B3
100,2.72E-04,B3
200,2.72E-04,B3
300,2.72E-04,B3
1,1.256918971,B4
2,1.252284515,B4
3,1.22140545,B4
5,0.967256936,B4
7,0.86765198,B4
10,0.629344072,B4
20,0.000701888,B4
30,0.00477419,B4
50,1.72E-05,B4
70,1.21E-06,B4
100,1.28E-06,B4
200,1.28E-06,B4
300,1.28E-06,B4
1,1.257133213,B5
2,1.257113555,B5
3,1.25676203,B5
5,1.241428961,B5
7,1.133147254,B5
10,0.864052722,B5
20,0.269322392,B5
30,0.004515748,B5
50,0.001406973,B5
70,2.72E-05,B5
100,7.26E-08,B5
200,4.67E-10,B5
300,4.67E-10,B5
1,0.695281119,B1Conv
2,0.349655787,B1Conv
3,0.176843121,B1Conv
4,0.090436788,B1Conv
5,0.047233621,B1Conv
6,0.025632038,B1Conv
7,0.014831246,B1Conv
8,0.00943085,B1Conv
9,0.006730653,B1Conv
10,0.005380554,B1Conv
11,0.004705504,B1Conv
12,0.004367979,B1Conv
13,0.004199217,B1Conv
14,0.004114836,B1Conv
15,0.004072645,B1Conv
16,0.00405155,B1Conv
17,0.004041002,B1Conv
18,0.004035728,B1Conv
19,0.004033092,B1Conv
20,0.004031773,B1Conv
21,0.004031114,B1Conv
22,0.004030784,B1Conv
23,0.004030619,B1Conv
24,0.004030537,B1Conv
25,0.004030496,B1Conv
26,0.004030475,B1Conv
27,0.004030465,B1Conv
28,0.00403046,B1Conv
29,0.004030457,B1Conv
30,0.004030456,B1Conv
31,0.004030455,B1Conv
32,0.004030455,B1Conv
33,0.004030455,B1Conv
34,0.004030455,B1Conv
35,0.004030455,B1Conv
36,0.004030455,B1Conv
37,0.004030455,B1Conv
38,0.004030455,B1Conv
39,0.004030455,B1Conv
40,0.004030455,B1Conv
41,0.004030455,B1Conv
42,0.004030455,B1Conv
43,0.004030455,B1Conv
44,0.004030455,B1Conv
45,0.004030455,B1Conv
46,0.004030455,B1Conv
47,0.004030455,B1Conv
48,0.004030455,B1Conv
49,0.004030455,B1Conv
50,0.004030455,B1Conv
51,0.004030455,B1Conv
52,0.004030455,B1Conv
53,0.004030455,B1Conv
54,0.004030455,B1Conv
55,0.004030455,B1Conv
56,0.004030455,B1Conv
57,0.004030455,B1Conv
58,0.004030455,B1Conv
59,0.004030455,B1Conv
60,0.004030455,B1Conv
61,0.004030455,B1Conv
62,0.004030455,B1Conv
63,0.004030455,B1Conv
64,0.004030455,B1Conv
65,0.004030455,B1Conv
66,0.004030455,B1Conv
67,0.004030455,B1Conv
68,0.004030455,B1Conv
69,0.004030455,B1Conv
70,0.004030455,B1Conv
71,0.004030455,B1Conv
72,0.004030455,B1Conv
